record_id,source_dataset,source_file,expected_technique_code,expected_stage_code,label_source,label_quality,mapping_confidence,source_type,parser_source,pcap_based,flow_only,prompt_available,rag_available,in_balanced_eval_set,reserved_small_coverage_holdout,review_decision,review_reason,codex_review_is_final
ctu13_scenario1::session::000223,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TA11_02,TA11,CTU-13 binetflow From-Botnet* join,high,high,pcap,zeek_conn,True,False,True,True,False,False,accept_high,PCAP-based Zeek record with high-confidence mapping,False
ctu13_scenario1::session::000020,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TA11_02,TA11,CTU-13 binetflow From-Botnet* join,high,high,pcap,zeek_conn,True,False,True,True,True,False,accept_high,PCAP-based Zeek record with high-confidence mapping,False
ctu13_scenario1::session::000018,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TA11_02,TA11,CTU-13 binetflow From-Botnet* join,high,high,pcap,zeek_conn,True,False,True,True,True,False,accept_high,PCAP-based Zeek record with high-confidence mapping,False
ctu13_scenario1::session::000027,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TA11_02,TA11,CTU-13 binetflow From-Botnet* join,high,high,pcap,zeek_conn,True,False,True,True,True,False,accept_high,PCAP-based Zeek record with high-confidence mapping,False
ctu13_scenario1::session::000021,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TA11_02,TA11,CTU-13 binetflow From-Botnet* join,high,high,pcap,zeek_conn,True,False,True,True,True,False,accept_high,PCAP-based Zeek record with high-confidence mapping,False
ctu13_scenario1::session::000022,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TA11_02,TA11,CTU-13 binetflow From-Botnet* join,high,high,pcap,zeek_conn,True,False,True,True,True,False,accept_high,PCAP-based Zeek record with high-confidence mapping,False
ctu13_scenario1::session::000024,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TA11_02,TA11,CTU-13 binetflow From-Botnet* join,high,high,pcap,zeek_conn,True,False,True,True,True,False,accept_high,PCAP-based Zeek record with high-confidence mapping,False
ctu13_scenario1::session::000016,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TA11_02,TA11,CTU-13 binetflow From-Botnet* join,high,high,pcap,zeek_conn,True,False,True,True,True,False,accept_high,PCAP-based Zeek record with high-confidence mapping,False
ctu13_scenario1::session::000017,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TA11_02,TA11,CTU-13 binetflow From-Botnet* join,high,high,pcap,zeek_conn,True,False,True,True,True,False,accept_high,PCAP-based Zeek record with high-confidence mapping,False
ctu13_scenario1::session::000025,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TA11_02,TA11,CTU-13 binetflow From-Botnet* join,high,high,pcap,zeek_conn,True,False,True,True,True,False,accept_high,PCAP-based Zeek record with high-confidence mapping,False
ctu13_scenario1::session::000029,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TA11_02,TA11,CTU-13 binetflow From-Botnet* join,high,high,pcap,zeek_conn,True,False,True,True,False,False,accept_high,PCAP-based Zeek record with high-confidence mapping,False
ctu13_scenario1::session::000028,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TA11_02,TA11,CTU-13 binetflow From-Botnet* join,high,high,pcap,zeek_conn,True,False,True,True,False,False,accept_high,PCAP-based Zeek record with high-confidence mapping,False
ctu13_scenario1::session::000030,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TA11_02,TA11,CTU-13 binetflow From-Botnet* join,high,high,pcap,zeek_conn,True,False,True,True,False,False,accept_high,PCAP-based Zeek record with high-confidence mapping,False
ctu13_scenario1::session::000088,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TA11_02,TA11,CTU-13 binetflow From-Botnet* join,high,high,pcap,zeek_conn,True,False,True,True,False,False,accept_high,PCAP-based Zeek record with high-confidence mapping,False
ctu13_scenario1::session::000031,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TA11_02,TA11,CTU-13 binetflow From-Botnet* join,high,high,pcap,zeek_conn,True,False,True,True,False,False,accept_high,PCAP-based Zeek record with high-confidence mapping,False
ctu13_scenario1::session::000032,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TA11_02,TA11,CTU-13 binetflow From-Botnet* join,high,high,pcap,zeek_conn,True,False,True,True,False,False,accept_high,PCAP-based Zeek record with high-confidence mapping,False
ctu13_scenario1::session::000033,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TA11_02,TA11,CTU-13 binetflow From-Botnet* join,high,high,pcap,zeek_conn,True,False,True,True,False,False,accept_high,PCAP-based Zeek record with high-confidence mapping,False
ctu13_scenario1::session::000034,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TA11_02,TA11,CTU-13 binetflow From-Botnet* join,high,high,pcap,zeek_conn,True,False,True,True,False,False,accept_high,PCAP-based Zeek record with high-confidence mapping,False
ctu13_scenario1::session::000035,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TA11_02,TA11,CTU-13 binetflow From-Botnet* join,high,high,pcap,zeek_conn,True,False,True,True,False,False,accept_high,PCAP-based Zeek record with high-confidence mapping,False
ctu13_scenario1::session::000036,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TA11_02,TA11,CTU-13 binetflow From-Botnet* join,high,high,pcap,zeek_conn,True,False,True,True,False,False,accept_high,PCAP-based Zeek record with high-confidence mapping,False
ctu13_scenario1::session::000037,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TA11_02,TA11,CTU-13 binetflow From-Botnet* join,high,high,pcap,zeek_conn,True,False,True,True,False,False,accept_high,PCAP-based Zeek record with high-confidence mapping,False
ctu13_scenario1::session::000038,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TA11_02,TA11,CTU-13 binetflow From-Botnet* join,high,high,pcap,zeek_conn,True,False,True,True,False,False,accept_high,PCAP-based Zeek record with high-confidence mapping,False
ctu13_scenario1::session::000039,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TA11_02,TA11,CTU-13 binetflow From-Botnet* join,high,high,pcap,zeek_conn,True,False,True,True,False,False,accept_high,PCAP-based Zeek record with high-confidence mapping,False
ctu13_scenario1::session::000040,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TA11_02,TA11,CTU-13 binetflow From-Botnet* join,high,high,pcap,zeek_conn,True,False,True,True,False,False,accept_high,PCAP-based Zeek record with high-confidence mapping,False
ctu13_scenario1::session::000041,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TA11_02,TA11,CTU-13 binetflow From-Botnet* join,high,high,pcap,zeek_conn,True,False,True,True,False,False,accept_high,PCAP-based Zeek record with high-confidence mapping,False
ctu13_scenario1::session::000042,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TA11_02,TA11,CTU-13 binetflow From-Botnet* join,high,high,pcap,zeek_conn,True,False,True,True,False,False,accept_high,PCAP-based Zeek record with high-confidence mapping,False
ctu13_scenario1::session::000043,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TA11_02,TA11,CTU-13 binetflow From-Botnet* join,high,high,pcap,zeek_conn,True,False,True,True,False,False,accept_high,PCAP-based Zeek record with high-confidence mapping,False
ctu13_scenario1::session::000044,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TA11_02,TA11,CTU-13 binetflow From-Botnet* join,high,high,pcap,zeek_conn,True,False,True,True,False,False,accept_high,PCAP-based Zeek record with high-confidence mapping,False
ctu13_scenario1::session::000045,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TA11_02,TA11,CTU-13 binetflow From-Botnet* join,high,high,pcap,zeek_conn,True,False,True,True,False,False,accept_high,PCAP-based Zeek record with high-confidence mapping,False
ctu13_scenario1::session::000046,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TA11_02,TA11,CTU-13 binetflow From-Botnet* join,high,high,pcap,zeek_conn,True,False,True,True,False,False,accept_high,PCAP-based Zeek record with high-confidence mapping,False
ctu13_scenario1::session::000047,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TA11_02,TA11,CTU-13 binetflow From-Botnet* join,high,high,pcap,zeek_conn,True,False,True,True,False,False,accept_high,PCAP-based Zeek record with high-confidence mapping,False
ctu13_scenario1::session::000048,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TA11_02,TA11,CTU-13 binetflow From-Botnet* join,high,high,pcap,zeek_conn,True,False,True,True,False,False,accept_high,PCAP-based Zeek record with high-confidence mapping,False
ctu13_scenario1::session::000049,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TA11_02,TA11,CTU-13 binetflow From-Botnet* join,high,high,pcap,zeek_conn,True,False,True,True,False,False,accept_high,PCAP-based Zeek record with high-confidence mapping,False
ctu13_scenario1::session::000050,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TA11_02,TA11,CTU-13 binetflow From-Botnet* join,high,high,pcap,zeek_conn,True,False,True,True,False,False,accept_high,PCAP-based Zeek record with high-confidence mapping,False
ctu13_scenario1::session::000051,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TA11_02,TA11,CTU-13 binetflow From-Botnet* join,high,high,pcap,zeek_conn,True,False,True,True,False,False,accept_high,PCAP-based Zeek record with high-confidence mapping,False
ctu13_scenario1::session::000056,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TA11_02,TA11,CTU-13 binetflow From-Botnet* join,high,high,pcap,zeek_conn,True,False,True,True,False,False,accept_high,PCAP-based Zeek record with high-confidence mapping,False
ctu13_scenario1::session::000065,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TA11_02,TA11,CTU-13 binetflow From-Botnet* join,high,high,pcap,zeek_conn,True,False,True,True,False,False,accept_high,PCAP-based Zeek record with high-confidence mapping,False
ctu13_scenario1::session::000052,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TA11_02,TA11,CTU-13 binetflow From-Botnet* join,high,high,pcap,zeek_conn,True,False,True,True,False,False,accept_high,PCAP-based Zeek record with high-confidence mapping,False
ctu13_scenario1::session::000057,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TA11_02,TA11,CTU-13 binetflow From-Botnet* join,high,high,pcap,zeek_conn,True,False,True,True,False,False,accept_high,PCAP-based Zeek record with high-confidence mapping,False
ctu13_scenario1::session::000058,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TA11_02,TA11,CTU-13 binetflow From-Botnet* join,high,high,pcap,zeek_conn,True,False,True,True,False,False,accept_high,PCAP-based Zeek record with high-confidence mapping,False
ctu13_scenario1::session::000059,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TA11_02,TA11,CTU-13 binetflow From-Botnet* join,high,high,pcap,zeek_conn,True,False,True,True,False,False,accept_high,PCAP-based Zeek record with high-confidence mapping,False
ctu13_scenario1::session::000060,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TA11_02,TA11,CTU-13 binetflow From-Botnet* join,high,high,pcap,zeek_conn,True,False,True,True,False,False,accept_high,PCAP-based Zeek record with high-confidence mapping,False
ctu13_scenario1::session::000061,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TA11_02,TA11,CTU-13 binetflow From-Botnet* join,high,high,pcap,zeek_conn,True,False,True,True,False,False,accept_high,PCAP-based Zeek record with high-confidence mapping,False
ctu13_scenario1::session::000062,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TA11_02,TA11,CTU-13 binetflow From-Botnet* join,high,high,pcap,zeek_conn,True,False,True,True,False,False,accept_high,PCAP-based Zeek record with high-confidence mapping,False
ctu13_scenario1::session::000063,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TA11_02,TA11,CTU-13 binetflow From-Botnet* join,high,high,pcap,zeek_conn,True,False,True,True,False,False,accept_high,PCAP-based Zeek record with high-confidence mapping,False
ctu13_scenario1::session::000064,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TA11_02,TA11,CTU-13 binetflow From-Botnet* join,high,high,pcap,zeek_conn,True,False,True,True,False,False,accept_high,PCAP-based Zeek record with high-confidence mapping,False
ctu13_scenario1::session::000053,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TA11_02,TA11,CTU-13 binetflow From-Botnet* join,high,high,pcap,zeek_conn,True,False,True,True,False,False,accept_high,PCAP-based Zeek record with high-confidence mapping,False
ctu13_scenario1::session::000066,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TA11_02,TA11,CTU-13 binetflow From-Botnet* join,high,high,pcap,zeek_conn,True,False,True,True,False,False,accept_high,PCAP-based Zeek record with high-confidence mapping,False
ctu13_scenario1::session::000142,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TN01_01,TN01,CTU-13 Background* label,low,low,pcap,zeek_conn,True,False,True,True,False,False,reject_ambiguous_background,low-confidence background/normal mapping is ambiguous,False
ctu13_scenario1::session::000143,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TN01_01,TN01,CTU-13 Background* label,low,low,pcap,zeek_conn,True,False,True,True,False,False,reject_ambiguous_background,low-confidence background/normal mapping is ambiguous,False
ctu13_scenario1::session::000209,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TN01_01,TN01,CTU-13 Background* label,low,low,pcap,zeek_conn,True,False,True,True,False,False,reject_ambiguous_background,low-confidence background/normal mapping is ambiguous,False
ctu13_scenario1::session::000211,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TN01_01,TN01,CTU-13 Background* label,low,low,pcap,zeek_conn,True,False,True,True,False,False,reject_ambiguous_background,low-confidence background/normal mapping is ambiguous,False
ctu13_scenario1::session::000213,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TN01_01,TN01,CTU-13 Background* label,low,low,pcap,zeek_conn,True,False,True,True,False,False,reject_ambiguous_background,low-confidence background/normal mapping is ambiguous,False
ctu13_scenario1::session::000214,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TN01_01,TN01,CTU-13 Background* label,low,low,pcap,zeek_conn,True,False,True,True,False,False,reject_ambiguous_background,low-confidence background/normal mapping is ambiguous,False
ctu13_scenario1::session::000215,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TN01_01,TN01,CTU-13 Background* label,low,low,pcap,zeek_conn,True,False,True,True,False,False,reject_ambiguous_background,low-confidence background/normal mapping is ambiguous,False
ctu13_scenario1::session::000403,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TN01_01,TN01,CTU-13 Background* label,low,low,pcap,zeek_conn,True,False,True,True,False,False,reject_ambiguous_background,low-confidence background/normal mapping is ambiguous,False
ctu13_scenario1::session::000407,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TN01_01,TN01,CTU-13 Background* label,low,low,pcap,zeek_conn,True,False,True,True,False,False,reject_ambiguous_background,low-confidence background/normal mapping is ambiguous,False
ctu13_scenario1::session::000412,ctu13_scenario1,datasets/public/ctu13/raw/botnet-capture-20110810-neris.pcap,TN01_01,TN01,CTU-13 Background* label,low,low,pcap,zeek_conn,True,False,True,True,False,False,reject_ambiguous_background,low-confidence background/normal mapping is ambiguous,False
cse_cic_ids2018_bruteforce_wed14::flow::000001,cse_cic_ids2018_bruteforce_wed14,datasets/public/feasibility/labels/cse_cic_ids2018_bruteforce_wed14.csv,TN01_01,TN01,CSE-CIC-IDS2018 Label=Benign,high_flow_only,high,flow,flow_csv,False,True,True,True,True,False,accept_medium_needs_review,flow-only public label can support future SFT after manual review,False
cse_cic_ids2018_bruteforce_wed14::flow::000002,cse_cic_ids2018_bruteforce_wed14,datasets/public/feasibility/labels/cse_cic_ids2018_bruteforce_wed14.csv,TN01_01,TN01,CSE-CIC-IDS2018 Label=Benign,high_flow_only,high,flow,flow_csv,False,True,True,True,True,False,accept_medium_needs_review,flow-only public label can support future SFT after manual review,False
cse_cic_ids2018_bruteforce_wed14::flow::000003,cse_cic_ids2018_bruteforce_wed14,datasets/public/feasibility/labels/cse_cic_ids2018_bruteforce_wed14.csv,TN01_01,TN01,CSE-CIC-IDS2018 Label=Benign,high_flow_only,high,flow,flow_csv,False,True,True,True,True,False,accept_medium_needs_review,flow-only public label can support future SFT after manual review,False
cse_cic_ids2018_bruteforce_wed14::flow::000004,cse_cic_ids2018_bruteforce_wed14,datasets/public/feasibility/labels/cse_cic_ids2018_bruteforce_wed14.csv,TN01_01,TN01,CSE-CIC-IDS2018 Label=Benign,high_flow_only,high,flow,flow_csv,False,True,True,True,True,False,accept_medium_needs_review,flow-only public label can support future SFT after manual review,False
cse_cic_ids2018_bruteforce_wed14::flow::000005,cse_cic_ids2018_bruteforce_wed14,datasets/public/feasibility/labels/cse_cic_ids2018_bruteforce_wed14.csv,TN01_01,TN01,CSE-CIC-IDS2018 Label=Benign,high_flow_only,high,flow,flow_csv,False,True,True,True,True,False,accept_medium_needs_review,flow-only public label can support future SFT after manual review,False
cse_cic_ids2018_bruteforce_wed14::flow::000006,cse_cic_ids2018_bruteforce_wed14,datasets/public/feasibility/labels/cse_cic_ids2018_bruteforce_wed14.csv,TN01_01,TN01,CSE-CIC-IDS2018 Label=Benign,high_flow_only,high,flow,flow_csv,False,True,True,True,True,False,accept_medium_needs_review,flow-only public label can support future SFT after manual review,False
cse_cic_ids2018_bruteforce_wed14::flow::000007,cse_cic_ids2018_bruteforce_wed14,datasets/public/feasibility/labels/cse_cic_ids2018_bruteforce_wed14.csv,TN01_01,TN01,CSE-CIC-IDS2018 Label=Benign,high_flow_only,high,flow,flow_csv,False,True,True,True,True,False,accept_medium_needs_review,flow-only public label can support future SFT after manual review,False
cse_cic_ids2018_bruteforce_wed14::flow::000008,cse_cic_ids2018_bruteforce_wed14,datasets/public/feasibility/labels/cse_cic_ids2018_bruteforce_wed14.csv,TN01_01,TN01,CSE-CIC-IDS2018 Label=Benign,high_flow_only,high,flow,flow_csv,False,True,True,True,True,False,accept_medium_needs_review,flow-only public label can support future SFT after manual review,False
cse_cic_ids2018_bruteforce_wed14::flow::000009,cse_cic_ids2018_bruteforce_wed14,datasets/public/feasibility/labels/cse_cic_ids2018_bruteforce_wed14.csv,TN01_01,TN01,CSE-CIC-IDS2018 Label=Benign,high_flow_only,high,flow,flow_csv,False,True,True,True,True,False,accept_medium_needs_review,flow-only public label can support future SFT after manual review,False
cse_cic_ids2018_bruteforce_wed14::flow::000010,cse_cic_ids2018_bruteforce_wed14,datasets/public/feasibility/labels/cse_cic_ids2018_bruteforce_wed14.csv,TN01_01,TN01,CSE-CIC-IDS2018 Label=Benign,high_flow_only,high,flow,flow_csv,False,True,True,True,True,False,accept_medium_needs_review,flow-only public label can support future SFT after manual review,False
cse_cic_ids2018_bruteforce_wed14::flow::000011,cse_cic_ids2018_bruteforce_wed14,datasets/public/feasibility/labels/cse_cic_ids2018_bruteforce_wed14.csv,TA01_01,TA01,CSE-CIC-IDS2018 Label=FTP-BruteForce,high_flow_only,high,flow,flow_csv,False,True,True,True,True,True,reject_duplicate_or_leakage,reserved for small coverage holdout; do not train on it,False
cse_cic_ids2018_bruteforce_wed14::flow::000012,cse_cic_ids2018_bruteforce_wed14,datasets/public/feasibility/labels/cse_cic_ids2018_bruteforce_wed14.csv,TA01_01,TA01,CSE-CIC-IDS2018 Label=FTP-BruteForce,high_flow_only,high,flow,flow_csv,False,True,True,True,True,True,reject_duplicate_or_leakage,reserved for small coverage holdout; do not train on it,False
cse_cic_ids2018_bruteforce_wed14::flow::000013,cse_cic_ids2018_bruteforce_wed14,datasets/public/feasibility/labels/cse_cic_ids2018_bruteforce_wed14.csv,TA01_01,TA01,CSE-CIC-IDS2018 Label=FTP-BruteForce,high_flow_only,high,flow,flow_csv,False,True,True,True,True,True,reject_duplicate_or_leakage,reserved for small coverage holdout; do not train on it,False
cse_cic_ids2018_bruteforce_wed14::flow::000014,cse_cic_ids2018_bruteforce_wed14,datasets/public/feasibility/labels/cse_cic_ids2018_bruteforce_wed14.csv,TA01_01,TA01,CSE-CIC-IDS2018 Label=FTP-BruteForce,high_flow_only,high,flow,flow_csv,False,True,True,True,True,False,accept_medium_needs_review,flow-only public label can support future SFT after manual review,False
cse_cic_ids2018_bruteforce_wed14::flow::000015,cse_cic_ids2018_bruteforce_wed14,datasets/public/feasibility/labels/cse_cic_ids2018_bruteforce_wed14.csv,TA01_01,TA01,CSE-CIC-IDS2018 Label=FTP-BruteForce,high_flow_only,high,flow,flow_csv,False,True,True,True,True,False,accept_medium_needs_review,flow-only public label can support future SFT after manual review,False
cse_cic_ids2018_bruteforce_wed14::flow::000016,cse_cic_ids2018_bruteforce_wed14,datasets/public/feasibility/labels/cse_cic_ids2018_bruteforce_wed14.csv,TA01_01,TA01,CSE-CIC-IDS2018 Label=FTP-BruteForce,high_flow_only,high,flow,flow_csv,False,True,True,True,True,False,accept_medium_needs_review,flow-only public label can support future SFT after manual review,False
cse_cic_ids2018_bruteforce_wed14::flow::000017,cse_cic_ids2018_bruteforce_wed14,datasets/public/feasibility/labels/cse_cic_ids2018_bruteforce_wed14.csv,TA01_01,TA01,CSE-CIC-IDS2018 Label=FTP-BruteForce,high_flow_only,high,flow,flow_csv,False,True,True,True,True,False,accept_medium_needs_review,flow-only public label can support future SFT after manual review,False
cse_cic_ids2018_bruteforce_wed14::flow::000018,cse_cic_ids2018_bruteforce_wed14,datasets/public/feasibility/labels/cse_cic_ids2018_bruteforce_wed14.csv,TA01_01,TA01,CSE-CIC-IDS2018 Label=FTP-BruteForce,high_flow_only,high,flow,flow_csv,False,True,True,True,True,False,accept_medium_needs_review,flow-only public label can support future SFT after manual review,False
cse_cic_ids2018_bruteforce_wed14::flow::000019,cse_cic_ids2018_bruteforce_wed14,datasets/public/feasibility/labels/cse_cic_ids2018_bruteforce_wed14.csv,TA01_01,TA01,CSE-CIC-IDS2018 Label=FTP-BruteForce,high_flow_only,high,flow,flow_csv,False,True,True,True,True,False,accept_medium_needs_review,flow-only public label can support future SFT after manual review,False
cse_cic_ids2018_bruteforce_wed14::flow::000020,cse_cic_ids2018_bruteforce_wed14,datasets/public/feasibility/labels/cse_cic_ids2018_bruteforce_wed14.csv,TA01_01,TA01,CSE-CIC-IDS2018 Label=FTP-BruteForce,high_flow_only,high,flow,flow_csv,False,True,True,True,True,False,accept_medium_needs_review,flow-only public label can support future SFT after manual review,False
