record_id,source_dataset,expected_technique_code,label_quality,source_type,parser_source,prompt_available,rag_available,recommended_for_sft,reason
ctu13_scenario1::session::000018,ctu13_scenario1,TA11_02,high,pcap,zeek_conn,True,True,True,high/medium confidence metadata; manual review recommended before training
ctu13_scenario1::session::000027,ctu13_scenario1,TA11_02,high,pcap,zeek_conn,True,True,True,high/medium confidence metadata; manual review recommended before training
ctu13_scenario1::session::000021,ctu13_scenario1,TA11_02,high,pcap,zeek_conn,True,True,True,high/medium confidence metadata; manual review recommended before training
ctu13_scenario1::session::000022,ctu13_scenario1,TA11_02,high,pcap,zeek_conn,True,True,True,high/medium confidence metadata; manual review recommended before training
ctu13_scenario1::session::000024,ctu13_scenario1,TA11_02,high,pcap,zeek_conn,True,True,True,high/medium confidence metadata; manual review recommended before training
ctu13_scenario1::session::000016,ctu13_scenario1,TA11_02,high,pcap,zeek_conn,True,True,True,high/medium confidence metadata; manual review recommended before training
ctu13_scenario1::session::000017,ctu13_scenario1,TA11_02,high,pcap,zeek_conn,True,True,True,high/medium confidence metadata; manual review recommended before training
ctu13_scenario1::session::000025,ctu13_scenario1,TA11_02,high,pcap,zeek_conn,True,True,True,high/medium confidence metadata; manual review recommended before training
ctu13_scenario1::session::000029,ctu13_scenario1,TA11_02,high,pcap,zeek_conn,True,True,True,high/medium confidence metadata; manual review recommended before training
ctu13_scenario1::session::000028,ctu13_scenario1,TA11_02,high,pcap,zeek_conn,True,True,True,high/medium confidence metadata; manual review recommended before training
ctu13_scenario1::session::000030,ctu13_scenario1,TA11_02,high,pcap,zeek_conn,True,True,True,high/medium confidence metadata; manual review recommended before training
ctu13_scenario1::session::000088,ctu13_scenario1,TA11_02,high,pcap,zeek_conn,True,True,True,high/medium confidence metadata; manual review recommended before training
ctu13_scenario1::session::000031,ctu13_scenario1,TA11_02,high,pcap,zeek_conn,True,True,True,high/medium confidence metadata; manual review recommended before training
ctu13_scenario1::session::000032,ctu13_scenario1,TA11_02,high,pcap,zeek_conn,True,True,True,high/medium confidence metadata; manual review recommended before training
ctu13_scenario1::session::000033,ctu13_scenario1,TA11_02,high,pcap,zeek_conn,True,True,True,high/medium confidence metadata; manual review recommended before training
ctu13_scenario1::session::000034,ctu13_scenario1,TA11_02,high,pcap,zeek_conn,True,True,True,high/medium confidence metadata; manual review recommended before training
ctu13_scenario1::session::000035,ctu13_scenario1,TA11_02,high,pcap,zeek_conn,True,True,True,high/medium confidence metadata; manual review recommended before training
ctu13_scenario1::session::000036,ctu13_scenario1,TA11_02,high,pcap,zeek_conn,True,True,True,high/medium confidence metadata; manual review recommended before training
ctu13_scenario1::session::000037,ctu13_scenario1,TA11_02,high,pcap,zeek_conn,True,True,True,high/medium confidence metadata; manual review recommended before training
ctu13_scenario1::session::000038,ctu13_scenario1,TA11_02,high,pcap,zeek_conn,True,True,True,high/medium confidence metadata; manual review recommended before training
ctu13_scenario1::session::000039,ctu13_scenario1,TA11_02,high,pcap,zeek_conn,True,True,True,high/medium confidence metadata; manual review recommended before training
ctu13_scenario1::session::000040,ctu13_scenario1,TA11_02,high,pcap,zeek_conn,True,True,True,high/medium confidence metadata; manual review recommended before training
ctu13_scenario1::session::000041,ctu13_scenario1,TA11_02,high,pcap,zeek_conn,True,True,True,high/medium confidence metadata; manual review recommended before training
ctu13_scenario1::session::000042,ctu13_scenario1,TA11_02,high,pcap,zeek_conn,True,True,True,high/medium confidence metadata; manual review recommended before training
ctu13_scenario1::session::000043,ctu13_scenario1,TA11_02,high,pcap,zeek_conn,True,True,True,high/medium confidence metadata; manual review recommended before training
ctu13_scenario1::session::000044,ctu13_scenario1,TA11_02,high,pcap,zeek_conn,True,True,True,high/medium confidence metadata; manual review recommended before training
ctu13_scenario1::session::000045,ctu13_scenario1,TA11_02,high,pcap,zeek_conn,True,True,True,high/medium confidence metadata; manual review recommended before training
ctu13_scenario1::session::000046,ctu13_scenario1,TA11_02,high,pcap,zeek_conn,True,True,True,high/medium confidence metadata; manual review recommended before training
ctu13_scenario1::session::000047,ctu13_scenario1,TA11_02,high,pcap,zeek_conn,True,True,True,high/medium confidence metadata; manual review recommended before training
ctu13_scenario1::session::000048,ctu13_scenario1,TA11_02,high,pcap,zeek_conn,True,True,True,high/medium confidence metadata; manual review recommended before training
ctu13_scenario1::session::000049,ctu13_scenario1,TA11_02,high,pcap,zeek_conn,True,True,True,high/medium confidence metadata; manual review recommended before training
ctu13_scenario1::session::000050,ctu13_scenario1,TA11_02,high,pcap,zeek_conn,True,True,True,high/medium confidence metadata; manual review recommended before training
ctu13_scenario1::session::000051,ctu13_scenario1,TA11_02,high,pcap,zeek_conn,True,True,True,high/medium confidence metadata; manual review recommended before training
ctu13_scenario1::session::000056,ctu13_scenario1,TA11_02,high,pcap,zeek_conn,True,True,True,high/medium confidence metadata; manual review recommended before training
ctu13_scenario1::session::000065,ctu13_scenario1,TA11_02,high,pcap,zeek_conn,True,True,True,high/medium confidence metadata; manual review recommended before training
ctu13_scenario1::session::000052,ctu13_scenario1,TA11_02,high,pcap,zeek_conn,True,True,True,high/medium confidence metadata; manual review recommended before training
ctu13_scenario1::session::000057,ctu13_scenario1,TA11_02,high,pcap,zeek_conn,True,True,True,high/medium confidence metadata; manual review recommended before training
ctu13_scenario1::session::000058,ctu13_scenario1,TA11_02,high,pcap,zeek_conn,True,True,True,high/medium confidence metadata; manual review recommended before training
ctu13_scenario1::session::000059,ctu13_scenario1,TA11_02,high,pcap,zeek_conn,True,True,True,high/medium confidence metadata; manual review recommended before training
ctu13_scenario1::session::000060,ctu13_scenario1,TA11_02,high,pcap,zeek_conn,True,True,True,high/medium confidence metadata; manual review recommended before training
ctu13_scenario1::session::000061,ctu13_scenario1,TA11_02,high,pcap,zeek_conn,True,True,True,high/medium confidence metadata; manual review recommended before training
ctu13_scenario1::session::000062,ctu13_scenario1,TA11_02,high,pcap,zeek_conn,True,True,True,high/medium confidence metadata; manual review recommended before training
ctu13_scenario1::session::000063,ctu13_scenario1,TA11_02,high,pcap,zeek_conn,True,True,True,high/medium confidence metadata; manual review recommended before training
ctu13_scenario1::session::000064,ctu13_scenario1,TA11_02,high,pcap,zeek_conn,True,True,True,high/medium confidence metadata; manual review recommended before training
ctu13_scenario1::session::000053,ctu13_scenario1,TA11_02,high,pcap,zeek_conn,True,True,True,high/medium confidence metadata; manual review recommended before training
ctu13_scenario1::session::000066,ctu13_scenario1,TA11_02,high,pcap,zeek_conn,True,True,True,high/medium confidence metadata; manual review recommended before training
ctu13_scenario1::session::000142,ctu13_scenario1,TN01_01,low,pcap,zeek_conn,True,True,False,low-confidence or excluded label
ctu13_scenario1::session::000143,ctu13_scenario1,TN01_01,low,pcap,zeek_conn,True,True,False,low-confidence or excluded label
ctu13_scenario1::session::000209,ctu13_scenario1,TN01_01,low,pcap,zeek_conn,True,True,False,low-confidence or excluded label
ctu13_scenario1::session::000211,ctu13_scenario1,TN01_01,low,pcap,zeek_conn,True,True,False,low-confidence or excluded label
ctu13_scenario1::session::000213,ctu13_scenario1,TN01_01,low,pcap,zeek_conn,True,True,False,low-confidence or excluded label
ctu13_scenario1::session::000214,ctu13_scenario1,TN01_01,low,pcap,zeek_conn,True,True,False,low-confidence or excluded label
ctu13_scenario1::session::000215,ctu13_scenario1,TN01_01,low,pcap,zeek_conn,True,True,False,low-confidence or excluded label
ctu13_scenario1::session::000403,ctu13_scenario1,TN01_01,low,pcap,zeek_conn,True,True,False,low-confidence or excluded label
ctu13_scenario1::session::000407,ctu13_scenario1,TN01_01,low,pcap,zeek_conn,True,True,False,low-confidence or excluded label
ctu13_scenario1::session::000412,ctu13_scenario1,TN01_01,low,pcap,zeek_conn,True,True,False,low-confidence or excluded label
cse_cic_ids2018_bruteforce_wed14::flow::000001,cse_cic_ids2018_bruteforce_wed14,TN01_01,high_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_bruteforce_wed14::flow::000002,cse_cic_ids2018_bruteforce_wed14,TN01_01,high_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_bruteforce_wed14::flow::000003,cse_cic_ids2018_bruteforce_wed14,TN01_01,high_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_bruteforce_wed14::flow::000004,cse_cic_ids2018_bruteforce_wed14,TN01_01,high_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_bruteforce_wed14::flow::000005,cse_cic_ids2018_bruteforce_wed14,TN01_01,high_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_bruteforce_wed14::flow::000006,cse_cic_ids2018_bruteforce_wed14,TN01_01,high_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_bruteforce_wed14::flow::000007,cse_cic_ids2018_bruteforce_wed14,TN01_01,high_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_bruteforce_wed14::flow::000008,cse_cic_ids2018_bruteforce_wed14,TN01_01,high_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_bruteforce_wed14::flow::000009,cse_cic_ids2018_bruteforce_wed14,TN01_01,high_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_bruteforce_wed14::flow::000010,cse_cic_ids2018_bruteforce_wed14,TN01_01,high_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_bruteforce_wed14::flow::000011,cse_cic_ids2018_bruteforce_wed14,TA01_01,high_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_bruteforce_wed14::flow::000012,cse_cic_ids2018_bruteforce_wed14,TA01_01,high_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_bruteforce_wed14::flow::000013,cse_cic_ids2018_bruteforce_wed14,TA01_01,high_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_bruteforce_wed14::flow::000014,cse_cic_ids2018_bruteforce_wed14,TA01_01,high_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_bruteforce_wed14::flow::000015,cse_cic_ids2018_bruteforce_wed14,TA01_01,high_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_bruteforce_wed14::flow::000016,cse_cic_ids2018_bruteforce_wed14,TA01_01,high_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_bruteforce_wed14::flow::000017,cse_cic_ids2018_bruteforce_wed14,TA01_01,high_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_bruteforce_wed14::flow::000018,cse_cic_ids2018_bruteforce_wed14,TA01_01,high_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_bruteforce_wed14::flow::000019,cse_cic_ids2018_bruteforce_wed14,TA01_01,high_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_bruteforce_wed14::flow::000020,cse_cic_ids2018_bruteforce_wed14,TA01_01,high_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_bruteforce_wed14::flow::000021,cse_cic_ids2018_bruteforce_wed14,TA01_01,high_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_bruteforce_wed14::flow::000022,cse_cic_ids2018_bruteforce_wed14,TA01_01,high_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_bruteforce_wed14::flow::000023,cse_cic_ids2018_bruteforce_wed14,TA01_01,high_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_bruteforce_wed14::flow::000024,cse_cic_ids2018_bruteforce_wed14,TA01_01,high_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_bruteforce_wed14::flow::000025,cse_cic_ids2018_bruteforce_wed14,TA01_01,high_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_bruteforce_wed14::flow::000026,cse_cic_ids2018_bruteforce_wed14,TA01_01,high_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_bruteforce_wed14::flow::000027,cse_cic_ids2018_bruteforce_wed14,TA01_01,high_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_bruteforce_wed14::flow::000028,cse_cic_ids2018_bruteforce_wed14,TA01_01,high_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_bruteforce_wed14::flow::000029,cse_cic_ids2018_bruteforce_wed14,TA01_01,high_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_bruteforce_wed14::flow::000030,cse_cic_ids2018_bruteforce_wed14,TA01_01,high_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_bruteforce_wed14::flow::000031,cse_cic_ids2018_bruteforce_wed14,TA01_01,high_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_bruteforce_wed14::flow::000032,cse_cic_ids2018_bruteforce_wed14,TA01_01,high_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_bruteforce_wed14::flow::000033,cse_cic_ids2018_bruteforce_wed14,TA01_01,high_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_bruteforce_wed14::flow::000034,cse_cic_ids2018_bruteforce_wed14,TA01_01,high_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_bruteforce_wed14::flow::000035,cse_cic_ids2018_bruteforce_wed14,TA01_01,high_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_bruteforce_wed14::flow::000036,cse_cic_ids2018_bruteforce_wed14,TA01_01,high_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_bruteforce_wed14::flow::000037,cse_cic_ids2018_bruteforce_wed14,TA01_01,high_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_bruteforce_wed14::flow::000038,cse_cic_ids2018_bruteforce_wed14,TA01_01,high_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_bruteforce_wed14::flow::000039,cse_cic_ids2018_bruteforce_wed14,TA01_01,high_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_bruteforce_wed14::flow::000040,cse_cic_ids2018_bruteforce_wed14,TA01_01,high_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_webattack_thu22::flow::000001,cse_cic_ids2018_webattack_thu22,TN01_01,high_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_webattack_thu22::flow::000002,cse_cic_ids2018_webattack_thu22,TN01_01,high_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_webattack_thu22::flow::000003,cse_cic_ids2018_webattack_thu22,TN01_01,high_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_webattack_thu22::flow::000004,cse_cic_ids2018_webattack_thu22,TN01_01,high_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_webattack_thu22::flow::000005,cse_cic_ids2018_webattack_thu22,TN01_01,high_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_webattack_thu22::flow::000006,cse_cic_ids2018_webattack_thu22,TN01_01,high_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_webattack_thu22::flow::000007,cse_cic_ids2018_webattack_thu22,TN01_01,high_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_webattack_thu22::flow::000008,cse_cic_ids2018_webattack_thu22,TN01_01,high_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_webattack_thu22::flow::000009,cse_cic_ids2018_webattack_thu22,TN01_01,high_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_webattack_thu22::flow::000010,cse_cic_ids2018_webattack_thu22,TN01_01,high_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_webattack_thu22::flow::000011,cse_cic_ids2018_webattack_thu22,TA01_02,medium_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_webattack_thu22::flow::000012,cse_cic_ids2018_webattack_thu22,TA01_02,medium_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_webattack_thu22::flow::000013,cse_cic_ids2018_webattack_thu22,TA01_02,medium_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_webattack_thu22::flow::000014,cse_cic_ids2018_webattack_thu22,TA01_02,medium_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_webattack_thu22::flow::000015,cse_cic_ids2018_webattack_thu22,TA01_02,medium_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_webattack_thu22::flow::000016,cse_cic_ids2018_webattack_thu22,TA01_02,medium_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_webattack_thu22::flow::000017,cse_cic_ids2018_webattack_thu22,TA01_02,medium_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_webattack_thu22::flow::000018,cse_cic_ids2018_webattack_thu22,TA01_02,medium_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_webattack_thu22::flow::000019,cse_cic_ids2018_webattack_thu22,TA01_02,medium_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_webattack_thu22::flow::000020,cse_cic_ids2018_webattack_thu22,TA01_02,medium_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_webattack_thu22::flow::000021,cse_cic_ids2018_webattack_thu22,TA01_02,medium_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_webattack_thu22::flow::000022,cse_cic_ids2018_webattack_thu22,TA01_02,medium_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_webattack_thu22::flow::000023,cse_cic_ids2018_webattack_thu22,TA01_02,medium_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_webattack_thu22::flow::000024,cse_cic_ids2018_webattack_thu22,TA01_02,medium_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_webattack_thu22::flow::000025,cse_cic_ids2018_webattack_thu22,TA01_02,medium_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_webattack_thu22::flow::000026,cse_cic_ids2018_webattack_thu22,TA01_02,medium_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_webattack_thu22::flow::000027,cse_cic_ids2018_webattack_thu22,TA01_02,medium_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_webattack_thu22::flow::000028,cse_cic_ids2018_webattack_thu22,TA01_02,medium_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_webattack_thu22::flow::000029,cse_cic_ids2018_webattack_thu22,TA01_02,medium_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_webattack_thu22::flow::000030,cse_cic_ids2018_webattack_thu22,TA01_02,medium_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_webattack_thu22::flow::000031,cse_cic_ids2018_webattack_thu22,TA01_02,medium_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_webattack_thu22::flow::000032,cse_cic_ids2018_webattack_thu22,TA01_02,medium_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_webattack_thu22::flow::000033,cse_cic_ids2018_webattack_thu22,TA01_02,medium_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_webattack_thu22::flow::000034,cse_cic_ids2018_webattack_thu22,TA01_02,medium_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_webattack_thu22::flow::000035,cse_cic_ids2018_webattack_thu22,TA01_02,medium_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_webattack_thu22::flow::000036,cse_cic_ids2018_webattack_thu22,TA01_02,medium_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_webattack_thu22::flow::000037,cse_cic_ids2018_webattack_thu22,TA01_02,medium_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_webattack_thu22::flow::000038,cse_cic_ids2018_webattack_thu22,TA01_02,medium_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_webattack_thu22::flow::000039,cse_cic_ids2018_webattack_thu22,TA01_02,medium_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_webattack_thu22::flow::000040,cse_cic_ids2018_webattack_thu22,TA01_02,medium_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_bot_fri02::flow::000001,cse_cic_ids2018_bot_fri02,TN01_01,high_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_bot_fri02::flow::000002,cse_cic_ids2018_bot_fri02,TN01_01,high_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_bot_fri02::flow::000003,cse_cic_ids2018_bot_fri02,TN01_01,high_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_bot_fri02::flow::000004,cse_cic_ids2018_bot_fri02,TN01_01,high_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_bot_fri02::flow::000005,cse_cic_ids2018_bot_fri02,TN01_01,high_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_bot_fri02::flow::000006,cse_cic_ids2018_bot_fri02,TN01_01,high_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_bot_fri02::flow::000007,cse_cic_ids2018_bot_fri02,TN01_01,high_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_bot_fri02::flow::000008,cse_cic_ids2018_bot_fri02,TN01_01,high_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_bot_fri02::flow::000009,cse_cic_ids2018_bot_fri02,TN01_01,high_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_bot_fri02::flow::000010,cse_cic_ids2018_bot_fri02,TN01_01,high_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_bot_fri02::flow::000011,cse_cic_ids2018_bot_fri02,TA11_02,medium_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_bot_fri02::flow::000012,cse_cic_ids2018_bot_fri02,TA11_02,medium_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_bot_fri02::flow::000013,cse_cic_ids2018_bot_fri02,TA11_02,medium_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_bot_fri02::flow::000014,cse_cic_ids2018_bot_fri02,TA11_02,medium_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_bot_fri02::flow::000015,cse_cic_ids2018_bot_fri02,TA11_02,medium_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
cse_cic_ids2018_bot_fri02::flow::000016,cse_cic_ids2018_bot_fri02,TA11_02,medium_flow_only,flow,flow_csv,True,True,True,high/medium confidence metadata; manual review recommended before training
