source_id,source_name,source_type,usage,notes
src_mitre_home,MITRE ATT&CK home,official_reference,General ATT&CK knowledge base entry point.,Reference: https://attack.mitre.org/. Used for general source grounding only.
src_mitre_initial_access,MITRE ATT&CK tactic: Initial Access,official_reference,Grounding for exploit and credential-entry attempts.,Reference: https://attack.mitre.org/tactics/TA0001/. Used for general source grounding only.
src_mitre_persistence,MITRE ATT&CK tactic: Persistence,official_reference,Grounding for backdoor and implant persistence behavior.,Reference: https://attack.mitre.org/tactics/TA0003/. Used for general source grounding only.
src_mitre_reconnaissance,MITRE ATT&CK tactic: Reconnaissance,official_reference,Grounding for reconnaissance-stage scan and probing behavior.,Reference: https://attack.mitre.org/tactics/TA0043/. Used for general source grounding only.
src_mitre_tactics,MITRE ATT&CK tactics overview,official_reference,Tactic overview for stage vocabulary.,Reference: https://attack.mitre.org/tactics/. Used for general source grounding only.
src_nhs_doublepulsar_cc_1354,NHS Digital cyber alert CC-1354,public_reference,Grounding for DoublePulsar / SMB post-exploitation context.,Reference: https://digital.nhs.uk/cyber-alerts/2017/cc-1354. Used for general source grounding only.
src_nhs_strrat_cc_3867,NHS Digital cyber alert CC-3867 STRRAT,public_reference,Backup grounding for STRRAT behavior and impact.,Reference: https://digital.nhs.uk/cyber-alerts/2021/cc-3867. Used for general source grounding only.
src_nhs_ternalblue_cc_1353,NHS Digital cyber alert CC-1353,public_reference,Grounding for EternalBlue / SMB exploit context.,Reference: https://digital.nhs.uk/cyber-alerts/2017/cc-1353. Used for general source grounding only.
src_project_error_analysis,Project error analysis,project_distilled,False-positive boundaries and event granularity issues.,"Answers PDF only used for evaluation, not included in RAG."
src_public_doublepulsar_smb_reference,Public DoublePulsar / SMB post-exploitation reference,public_reference,Grounding for DOUBLEPULSAR as post-exploitation implant/backdoor behavior.,Short distilled implant context only.
src_public_strrat_family_reference,Public STRRAT malware family reference,public_reference,Grounding for STRRAT as a remote access Trojan and C2/callback behavior.,Short distilled malware-family context only.
src_secpod_doublepulsar,SecPod DoublePulsar overview,public_reference,Backup grounding for DoublePulsar payload and implant behavior.,Reference: https://www.secpod.com/blog/doublepulsar-a-very-sophisticated-payload-for-windows. Used for general source grounding only.
src_threatfox_jar_strrat,ThreatFox jar.strrat malware tag,public_reference,Backup grounding for STRRAT family references.,Reference: https://threatfox.abuse.ch/browse/malware/jar.strrat/. Used for general source grounding only.
src_zeek_conn_log,Zeek official documentation: conn.log and common log files,official_reference,Grounding for Zeek connection summary and common log-field semantics.,Used for field interpretation only.
src_zeek_conn_log_master,Zeek official documentation: conn.log,official_reference,Grounding for Zeek connection summary fields.,Reference: https://docs.zeek.org/en/master/reference/logs/conn.html. Used for general source grounding only.
src_zeek_dns_log_master,Zeek official documentation: dns.log,official_reference,Grounding for Zeek DNS query and response fields.,Reference: https://docs.zeek.org/en/master/reference/logs/dns.html. Used for general source grounding only.
src_zeek_docs,Zeek official documentation,official_reference,Zeek log and field interpretation.,"Used for log semantics, not dataset answers."
