doc_id,title,relative_path,category,attack_types,attack_stages,keywords,source_type,safe_for_llm,notes
data_exfiltration_detection,Data exfiltration detection,rag/knowledge/attack_types/data_exfiltration_detection.md,attack_types,other_attack,command_and_control,exfiltration|large outbound|DNS tunnel|HTTP upload|data transfer,official_or_distilled,true,Retrieve for data exfiltration detection evidence interpretation.
dos_ddos_detection,DoS and DDoS detection,rag/knowledge/attack_types/dos_ddos_detection.md,attack_types,other_attack,initial_access,DoS|DDoS|flood|SYN flood|high_volume_activity,official_or_distilled,true,Retrieve for dos and ddos detection evidence interpretation.
exploit_detection,Exploit detection,rag/knowledge/attack_types/exploit_detection.md,attack_types,exploit,initial_access,exploit|vulnerability|CVE|initial_access|alert,official_or_distilled,true,Retrieve for exploit detection evidence interpretation.
other_attack_policy,Other attack policy,rag/knowledge/attack_types/other_attack_policy.md,attack_types,other_attack,none|reconnaissance|initial_access|persistence|command_and_control,other_attack|policy|uncertain|closed vocabulary,official_or_distilled,true,Retrieve for other attack policy evidence interpretation.
port_scan_detection,Port scan detection,rag/knowledge/attack_types/port_scan_detection.md,attack_types,port_scan,reconnaissance,port_scan|Nmap|SYN|unique_dst_ports|failed_conn_rate,official_or_distilled,true,Retrieve for port scan detection evidence interpretation.
smb_exploit_detection,SMB exploit detection,rag/knowledge/attack_types/smb_exploit_detection.md,attack_types,exploit,initial_access,SMB|SMBv1|MS17-010|EternalBlue|port 445|port 139,official_or_distilled,true,Retrieve for smb exploit detection evidence interpretation.
trojan_callback_detection,Trojan callback detection,rag/knowledge/attack_types/trojan_callback_detection.md,attack_types,trojan_callback,command_and_control,trojan|callback|malware download|phone home|HTTP callback,official_or_distilled,true,Retrieve for trojan callback detection evidence interpretation.
web_exploit_detection,Web exploit detection,rag/knowledge/attack_types/web_exploit_detection.md,attack_types,exploit,initial_access,web exploit|SQL injection|XSS|directory traversal|command injection|http.request.uri,official_or_distilled,true,Retrieve for web exploit detection evidence interpretation.
confidence_policy,Confidence policy,rag/knowledge/false_positive_rules/confidence_policy.md,false_positive_rules,normal|port_scan|exploit|backdoor|trojan_callback|c2|other_attack,none|reconnaissance|initial_access|persistence|command_and_control,confidence|evidence|severity|alert_count|uncertainty,official_or_distilled,true,Retrieve for confidence policy evidence interpretation.
false_positive_low_signal_events,Low signal event handling,rag/knowledge/false_positive_rules/false_positive_low_signal_events.md,false_positive_rules,normal,none,low signal|packet_count|conn_count|no alert|empty fields,official_or_distilled,true,Retrieve for low signal event handling evidence interpretation.
normal_dns_vs_dns_tunnel,Normal DNS versus DNS tunnel,rag/knowledge/false_positive_rules/normal_dns_vs_dns_tunnel.md,false_positive_rules,normal|c2|other_attack,none|command_and_control,DNS|DNS tunnel|long domain|NXDOMAIN|TXT,official_or_distilled,true,Retrieve for normal dns versus dns tunnel evidence interpretation.
normal_high_volume_traffic,Normal high volume traffic,rag/knowledge/false_positive_rules/normal_high_volume_traffic.md,false_positive_rules,normal|other_attack,none|initial_access,high volume|packet_count|conn_count|backup|monitoring,official_or_distilled,true,Retrieve for normal high volume traffic evidence interpretation.
normal_http_vs_web_exploit,Normal HTTP versus web exploit,rag/knowledge/false_positive_rules/normal_http_vs_web_exploit.md,false_positive_rules,normal|exploit,none|initial_access,HTTP|URI|web exploit|scanner|crawler,official_or_distilled,true,Retrieve for normal http versus web exploit evidence interpretation.
normal_periodic_connection_vs_c2,Normal periodic connection versus C2,rag/knowledge/false_positive_rules/normal_periodic_connection_vs_c2.md,false_positive_rules,normal|c2|trojan_callback,none|command_and_control,periodic|beacon|telemetry|update|C2,official_or_distilled,true,Retrieve for normal periodic connection versus c2 evidence interpretation.
normal_smb_vs_smb_exploit,Normal SMB versus SMB exploit,rag/knowledge/false_positive_rules/normal_smb_vs_smb_exploit.md,false_positive_rules,normal|exploit,none|initial_access,SMB|port 445|file sharing|MS17-010,official_or_distilled,true,Retrieve for normal smb versus smb exploit evidence interpretation.
protocol_anomaly_low_confidence,Protocol anomaly low confidence policy,rag/knowledge/false_positive_rules/protocol_anomaly_low_confidence.md,false_positive_rules,normal|other_attack,none|initial_access,invalid checksum|unknown code|protocol anomaly|malformed|low confidence,official_or_distilled,true,Retrieve for protocol anomaly low confidence policy evidence interpretation.
weak_evidence_handling,Weak evidence handling,rag/knowledge/false_positive_rules/weak_evidence_handling.md,false_positive_rules,normal,none,weak evidence|candidate_labels|source_presence|confidence,official_or_distilled,true,Retrieve for weak evidence handling evidence interpretation.
protocol_common_ports,Common port interpretation,rag/knowledge/protocols/protocol_common_ports.md,protocols,normal|port_scan|exploit|backdoor|trojan_callback|c2|other_attack,none|reconnaissance|initial_access|persistence|command_and_control,22|21|53|80|443|445|139|3389|ports,official_or_distilled,true,Retrieve for common port interpretation evidence interpretation.
protocol_dns,DNS protocol interpretation,rag/knowledge/protocols/protocol_dns.md,protocols,normal|c2|trojan_callback|other_attack,none|command_and_control,DNS|dns_queries|NXDOMAIN|DNS tunnel|domain,official_or_distilled,true,Retrieve for dns protocol interpretation evidence interpretation.
protocol_http,HTTP protocol interpretation,rag/knowledge/protocols/protocol_http.md,protocols,normal|exploit|trojan_callback|c2,none|initial_access|command_and_control,HTTP|Host|URI|GET|POST|status_code,official_or_distilled,true,Retrieve for http protocol interpretation evidence interpretation.
protocol_icmp_icmpv6,ICMP and ICMPv6 interpretation,rag/knowledge/protocols/protocol_icmp_icmpv6.md,protocols,normal|other_attack,none|reconnaissance,ICMP|ICMPv6|checksum|unknown code|ping,official_or_distilled,true,Retrieve for icmp and icmpv6 interpretation evidence interpretation.
protocol_smb,SMB protocol interpretation,rag/knowledge/protocols/protocol_smb.md,protocols,normal|exploit|backdoor|trojan_callback|c2,none|initial_access|persistence|command_and_control,SMB|SMBv1|port 445|port 139|MS17-010|Windows file sharing,official_or_distilled,true,Retrieve for smb protocol interpretation evidence interpretation.
protocol_ssh_ftp_rdp,SSH FTP and RDP interpretation,rag/knowledge/protocols/protocol_ssh_ftp_rdp.md,protocols,normal|other_attack,none|initial_access,SSH|FTP|RDP|22|21|3389|bruteforce,official_or_distilled,true,Retrieve for ssh ftp and rdp interpretation evidence interpretation.
protocol_tcp_flags,TCP flags and connection behavior,rag/knowledge/protocols/protocol_tcp_flags.md,protocols,normal|port_scan|other_attack,none|reconnaissance|initial_access,TCP|SYN|ACK|RST|FIN|tcp.flags,official_or_distilled,true,Retrieve for tcp flags and connection behavior evidence interpretation.
protocol_tls_sni,TLS SNI interpretation,rag/knowledge/protocols/protocol_tls_sni.md,protocols,normal|c2|trojan_callback,none|command_and_control,TLS|SNI|tls_sni|certificate|HTTPS,official_or_distilled,true,Retrieve for tls sni interpretation evidence interpretation.
protocol_udp_services,UDP service interpretation,rag/knowledge/protocols/protocol_udp_services.md,protocols,normal|port_scan|c2|other_attack,none|reconnaissance|command_and_control,UDP|DNS|NTP|QUIC|SNMP|UDP scan,official_or_distilled,true,Retrieve for udp service interpretation evidence interpretation.
signature_bruteforce,Bruteforce signatures,rag/knowledge/signatures/signature_bruteforce.md,signatures,other_attack,initial_access,bruteforce|SSH|FTP|RDP|login,official_or_distilled,true,Retrieve for bruteforce signatures evidence interpretation.
signature_command_injection,Command injection signature,rag/knowledge/signatures/signature_command_injection.md,signatures,exploit,initial_access,command injection|cmd|shell|;|wget|curl,official_or_distilled,true,Retrieve for command injection signature evidence interpretation.
signature_directory_traversal,Directory traversal signature,rag/knowledge/signatures/signature_directory_traversal.md,signatures,exploit,initial_access,directory traversal|../|%2e%2e|path traversal|LFI,official_or_distilled,true,Retrieve for directory traversal signature evidence interpretation.
signature_dns_tunnel,DNS tunnel signature,rag/knowledge/signatures/signature_dns_tunnel.md,signatures,other_attack|c2,command_and_control,DNS tunnel|long domain|TXT|base64|covert channel,official_or_distilled,true,Retrieve for dns tunnel signature evidence interpretation.
signature_dos_ddos,DoS and DDoS signatures,rag/knowledge/signatures/signature_dos_ddos.md,signatures,other_attack,initial_access,DoS|DDoS|flood|SYN flood|amplification,official_or_distilled,true,Retrieve for dos and ddos signatures evidence interpretation.
signature_doublepulsar,DOUBLEPULSAR beacon response,rag/knowledge/signatures/signature_doublepulsar.md,signatures,backdoor|trojan_callback|c2,persistence|command_and_control,DOUBLEPULSAR|beacon|implant|backdoor|SMB,official_or_distilled,true,Retrieve for doublepulsar beacon response evidence interpretation.
signature_et_scan,ET scan signatures,rag/knowledge/signatures/signature_et_scan.md,signatures,port_scan,reconnaissance,ET SCAN|scan|Nmap|probe|reconnaissance,official_or_distilled,true,Retrieve for et scan signatures evidence interpretation.
signature_generic_exploit_alerts,Generic exploit alerts,rag/knowledge/signatures/signature_generic_exploit_alerts.md,signatures,exploit,initial_access,generic exploit|attempted-admin|attempted-user|vulnerability,official_or_distilled,true,Retrieve for generic exploit alerts evidence interpretation.
signature_generic_malware_callback,Generic malware callback signatures,rag/knowledge/signatures/signature_generic_malware_callback.md,signatures,trojan_callback|c2,command_and_control,malware callback|trojan|phone home|checkin|beacon,official_or_distilled,true,Retrieve for generic malware callback signatures evidence interpretation.
signature_heartbleed,Heartbleed signature,rag/knowledge/signatures/signature_heartbleed.md,signatures,exploit,initial_access,Heartbleed|OpenSSL|TLS|CVE-2014-0160|exploit,official_or_distilled,true,Retrieve for heartbleed signature evidence interpretation.
signature_http_c2,HTTP C2 signature,rag/knowledge/signatures/signature_http_c2.md,signatures,c2|trojan_callback,command_and_control,HTTP C2|callback|beacon|User-Agent|URI,official_or_distilled,true,Retrieve for http c2 signature evidence interpretation.
signature_irc_botnet,IRC botnet signature,rag/knowledge/signatures/signature_irc_botnet.md,signatures,c2,command_and_control,IRC|botnet|C2|channel|PRIVMSG,official_or_distilled,true,Retrieve for irc botnet signature evidence interpretation.
signature_ms17_010_smb,MS17-010 SMB exploit evidence,rag/knowledge/signatures/signature_ms17_010_smb.md,signatures,exploit,initial_access,MS17-010|SMB|SMBv1|port 445|EternalBlue|exploit,official_or_distilled,true,Retrieve for ms17-010 smb exploit evidence evidence interpretation.
signature_protocol_anomaly,Protocol anomaly signatures,rag/knowledge/signatures/signature_protocol_anomaly.md,signatures,normal|other_attack,none|initial_access,protocol anomaly|invalid checksum|unknown code|malformed,official_or_distilled,true,Retrieve for protocol anomaly signatures evidence interpretation.
signature_reverse_shell,Reverse shell signature,rag/knowledge/signatures/signature_reverse_shell.md,signatures,backdoor|c2,command_and_control,reverse shell|shell|callback|connect back|nc,official_or_distilled,true,Retrieve for reverse shell signature evidence interpretation.
signature_strrat,STRRAT CnC Checkin signature,rag/knowledge/signatures/signature_strrat.md,signatures,c2|trojan_callback,command_and_control,STRRAT|CnC Checkin|C2|malware|RAT,official_or_distilled,true,Retrieve for strrat cnc checkin signature evidence interpretation.
signature_tls_c2,TLS C2 signature,rag/knowledge/signatures/signature_tls_c2.md,signatures,c2|trojan_callback,command_and_control,TLS C2|SNI|certificate|JA3|HTTPS callback,official_or_distilled,true,Retrieve for tls c2 signature evidence interpretation.
signature_web_sql_injection,SQL injection signature,rag/knowledge/signatures/signature_web_sql_injection.md,signatures,exploit,initial_access,SQL injection|SQLi|UNION SELECT|OR 1=1|http_uri,official_or_distilled,true,Retrieve for sql injection signature evidence interpretation.
signature_web_xss,Cross-site scripting signature,rag/knowledge/signatures/signature_web_xss.md,signatures,exploit,initial_access,XSS|script|onerror|javascript|web exploit,official_or_distilled,true,Retrieve for cross-site scripting signature evidence interpretation.
signature_webshell,Webshell signature,rag/knowledge/signatures/signature_webshell.md,signatures,backdoor|c2,persistence|command_and_control,webshell|shell|cmd|upload|backdoor,official_or_distilled,true,Retrieve for webshell signature evidence interpretation.
event_card_schema_interpretation,Event card schema interpretation,rag/knowledge/tool_fields/event_card_schema_interpretation.md,tool_fields,normal|port_scan|exploit|backdoor|trojan_callback|c2|other_attack,none|reconnaissance|initial_access|persistence|command_and_control,event card|source_presence|candidate_labels|rag_query|preliminary_observation,official_or_distilled,true,Retrieve for event card schema interpretation evidence interpretation.
suricata_eve_alerts,Suricata EVE alerts,rag/knowledge/tool_fields/suricata_eve_alerts.md,tool_fields,normal|port_scan|exploit|backdoor|trojan_callback|c2|other_attack,none|reconnaissance|initial_access|persistence|command_and_control,Suricata|eve.json|alert|signature|category|severity,official_or_distilled,true,Retrieve for suricata eve alerts evidence interpretation.
suricata_signature_category_severity,Suricata signature category and severity,rag/knowledge/tool_fields/suricata_signature_category_severity.md,tool_fields,normal|port_scan|exploit|backdoor|trojan_callback|c2|other_attack,none|reconnaissance|initial_access|persistence|command_and_control,Suricata|signature|category|severity|ET|alert,official_or_distilled,true,Retrieve for suricata signature category and severity evidence interpretation.
tshark_packet_fields,Tshark packet fields,rag/knowledge/tool_fields/tshark_packet_fields.md,tool_fields,normal|port_scan|exploit|backdoor|trojan_callback|c2|other_attack,none|reconnaissance|initial_access|persistence|command_and_control,tshark|packet_count|tcp_syn_count|tcp_ack_count|frame.len,official_or_distilled,true,Retrieve for tshark packet fields evidence interpretation.
zeek_conn_log_fields,Zeek conn.log fields,rag/knowledge/tool_fields/zeek_conn_log_fields.md,tool_fields,normal|port_scan|exploit|backdoor|trojan_callback|c2|other_attack,none|reconnaissance|initial_access|persistence|command_and_control,Zeek|conn.log|conn_state|failed_conn_rate|orig_bytes|resp_bytes,official_or_distilled,true,Retrieve for zeek conn.log fields evidence interpretation.
zeek_dns_log_fields,Zeek DNS log fields,rag/knowledge/tool_fields/zeek_dns_log_fields.md,tool_fields,normal|c2|other_attack|trojan_callback,none|command_and_control,Zeek|dns.log|dns_queries|query|NXDOMAIN,official_or_distilled,true,Retrieve for zeek dns log fields evidence interpretation.
zeek_files_log_fields,Zeek files.log fields,rag/knowledge/tool_fields/zeek_files_log_fields.md,tool_fields,normal|exploit|trojan_callback|other_attack,none|initial_access|command_and_control,Zeek|files.log|filename|mime_type|file download,official_or_distilled,true,Retrieve for zeek files.log fields evidence interpretation.
zeek_http_log_fields,Zeek HTTP log fields,rag/knowledge/tool_fields/zeek_http_log_fields.md,tool_fields,normal|exploit|trojan_callback|c2,none|initial_access|command_and_control,Zeek|http.log|http_uris|Host|URI|status_code,official_or_distilled,true,Retrieve for zeek http log fields evidence interpretation.
zeek_ssl_tls_log_fields,Zeek SSL and TLS log fields,rag/knowledge/tool_fields/zeek_ssl_tls_log_fields.md,tool_fields,normal|c2|trojan_callback,none|command_and_control,Zeek|ssl.log|tls.log|tls_sni|SNI|certificate,official_or_distilled,true,Retrieve for zeek ssl and tls log fields evidence interpretation.
zeek_weird_notice_logs,Zeek weird and notice logs,rag/knowledge/tool_fields/zeek_weird_notice_logs.md,tool_fields,normal|other_attack,none|initial_access,Zeek|weird.log|notice.log|anomaly|protocol weird,official_or_distilled,true,Retrieve for zeek weird and notice logs evidence interpretation.
