scenario_id,intended_label,variant,pcap_path,bytes,sha256,generation_script,evidence_summary,safety_notes,limitations
synthetic_ta01_02_v2,TA01_02,2,datasets/public/synthetic_controlled/raw/ta01_02/synthetic_ta01_02_v2.pcap,5544,75dc5587e55ac8d7128acf51adcad111c0a09ecbacc44efd248d6848e057a627,scripts/generate_controlled_pcaps/generate_safe_http_scenarios.py,Traversal/injection-shaped URI strings receive fixed 400 responses; nothing executes.,localhost only; fixed responses; no command execution; uploads discarded; no real malware,synthetic_controlled; coverage/pipeline boundary testing only; never external or strict evidence
synthetic_ta01_02_v3,TA01_02,3,datasets/public/synthetic_controlled/raw/ta01_02/synthetic_ta01_02_v3.pcap,5544,817546a1bd299076d827cbfd2a7fd27836bf30ac3aba0d7944c6499abcb0c8b6,scripts/generate_controlled_pcaps/generate_safe_http_scenarios.py,Traversal/injection-shaped URI strings receive fixed 400 responses; nothing executes.,localhost only; fixed responses; no command execution; uploads discarded; no real malware,synthetic_controlled; coverage/pipeline boundary testing only; never external or strict evidence
synthetic_ta03_01_v1,TA03_01,1,datasets/public/synthetic_controlled/raw/ta03_01/synthetic_ta03_01_v1.pcap,4851,71fcaecded5a3d919e239783e3096dff8abd1743c4facaa585bee71729b76bbb,scripts/generate_controlled_pcaps/generate_safe_http_scenarios.py,POST upload of a non-executable marker receives fixed 201; server discards it.,localhost only; fixed responses; no command execution; uploads discarded; no real malware,synthetic_controlled; coverage/pipeline boundary testing only; never external or strict evidence
synthetic_ta03_01_v2,TA03_01,2,datasets/public/synthetic_controlled/raw/ta03_01/synthetic_ta03_01_v2.pcap,4851,aa53f970b49478c3f2fb23598297ab1f2ee79c7b8f17a170b2a730ef6cd00afe,scripts/generate_controlled_pcaps/generate_safe_http_scenarios.py,POST upload of a non-executable marker receives fixed 201; server discards it.,localhost only; fixed responses; no command execution; uploads discarded; no real malware,synthetic_controlled; coverage/pipeline boundary testing only; never external or strict evidence
synthetic_ta03_01_v3,TA03_01,3,datasets/public/synthetic_controlled/raw/ta03_01/synthetic_ta03_01_v3.pcap,4851,dc292c2799ae7c5ed78c7fb0471d526db442b46a132091ab30429b2b91cca3d2,scripts/generate_controlled_pcaps/generate_safe_http_scenarios.py,POST upload of a non-executable marker receives fixed 201; server discards it.,localhost only; fixed responses; no command execution; uploads discarded; no real malware,synthetic_controlled; coverage/pipeline boundary testing only; never external or strict evidence
synthetic_ta11_01_v1,TA11_01,1,datasets/public/synthetic_controlled/raw/ta11_01/synthetic_ta11_01_v1.pcap,4185,390a2ac8dc6484fc45bc86af21d2242b6c856e31d759cb5fa080fb3a0744c377,scripts/generate_controlled_pcaps/generate_safe_http_scenarios.py,Client visits a mock-webshell control URI; endpoint returns fixed status only.,localhost only; fixed responses; no command execution; uploads discarded; no real malware,synthetic_controlled; coverage/pipeline boundary testing only; never external or strict evidence
synthetic_ta11_01_v2,TA11_01,2,datasets/public/synthetic_controlled/raw/ta11_01/synthetic_ta11_01_v2.pcap,4185,fa515a45e590fcdcb4800f6eb88a201e41bde7bb6e42dcd2544f04ffdc860bd6,scripts/generate_controlled_pcaps/generate_safe_http_scenarios.py,Client visits a mock-webshell control URI; endpoint returns fixed status only.,localhost only; fixed responses; no command execution; uploads discarded; no real malware,synthetic_controlled; coverage/pipeline boundary testing only; never external or strict evidence
synthetic_ta11_01_v3,TA11_01,3,datasets/public/synthetic_controlled/raw/ta11_01/synthetic_ta11_01_v3.pcap,4185,096aa094bbfac4881351cc2f33aea1f8ef757c662ce164ac6b55eedf6e41a8fd,scripts/generate_controlled_pcaps/generate_safe_http_scenarios.py,Client visits a mock-webshell control URI; endpoint returns fixed status only.,localhost only; fixed responses; no command execution; uploads discarded; no real malware,synthetic_controlled; coverage/pipeline boundary testing only; never external or strict evidence
synthetic_ta11_02_v1,TA11_02,1,datasets/public/synthetic_controlled/raw/ta11_02/synthetic_ta11_02_v1.pcap,12552,399071ee60a5f040d88d52bfd9ba28f8ece9a623999cca6e84e2ba3dc58fe53b,scripts/generate_controlled_pcaps/generate_safe_http_scenarios.py,Eight localhost callbacks send a fixed heartbeat string to a dummy endpoint.,localhost only; fixed responses; no command execution; uploads discarded; no real malware,synthetic_controlled; coverage/pipeline boundary testing only; never external or strict evidence
synthetic_ta11_02_v2,TA11_02,2,datasets/public/synthetic_controlled/raw/ta11_02/synthetic_ta11_02_v2.pcap,12552,7a0966d4ed7a3af719bce1435df044babbd9ee1dec2bb787fbae6285c81a5c3e,scripts/generate_controlled_pcaps/generate_safe_http_scenarios.py,Eight localhost callbacks send a fixed heartbeat string to a dummy endpoint.,localhost only; fixed responses; no command execution; uploads discarded; no real malware,synthetic_controlled; coverage/pipeline boundary testing only; never external or strict evidence
synthetic_ta11_02_v3,TA11_02,3,datasets/public/synthetic_controlled/raw/ta11_02/synthetic_ta11_02_v3.pcap,12552,4e2b5632970ac9638cd1ed199ebcbe32a6c0ae5bee2ed547b319b1eadb820479,scripts/generate_controlled_pcaps/generate_safe_http_scenarios.py,Eight localhost callbacks send a fixed heartbeat string to a dummy endpoint.,localhost only; fixed responses; no command execution; uploads discarded; no real malware,synthetic_controlled; coverage/pipeline boundary testing only; never external or strict evidence
synthetic_tn01_01_v1,TN01_01,1,datasets/public/synthetic_controlled/raw/tn01_01/synthetic_tn01_01_v1.pcap,4023,147d7d6ea850fd427b4eb7c744fbc38644421c5b32f2044f03e83454dcc34bbe,scripts/generate_controlled_pcaps/generate_safe_http_scenarios.py,"Ordinary localhost HTTP GET requests for index, documentation and health.",localhost only; fixed responses; no command execution; uploads discarded; no real malware,synthetic_controlled; coverage/pipeline boundary testing only; never external or strict evidence
synthetic_tn01_01_v2,TN01_01,2,datasets/public/synthetic_controlled/raw/tn01_01/synthetic_tn01_01_v2.pcap,4023,305d8bd0cd96c71465b90eef0de5ff5201746bb414e18077d46ef3cf90074e59,scripts/generate_controlled_pcaps/generate_safe_http_scenarios.py,"Ordinary localhost HTTP GET requests for index, documentation and health.",localhost only; fixed responses; no command execution; uploads discarded; no real malware,synthetic_controlled; coverage/pipeline boundary testing only; never external or strict evidence
synthetic_tn01_01_v3,TN01_01,3,datasets/public/synthetic_controlled/raw/tn01_01/synthetic_tn01_01_v3.pcap,4023,b59c27b2552e5a068f4c099633abaf653cf1673d2e28d91fc9c969de66340dbb,scripts/generate_controlled_pcaps/generate_safe_http_scenarios.py,"Ordinary localhost HTTP GET requests for index, documentation and health.",localhost only; fixed responses; no command execution; uploads discarded; no real malware,synthetic_controlled; coverage/pipeline boundary testing only; never external or strict evidence
feasibility_portscan_local,TA43_01,0,datasets/public/feasibility/raw/portscan/generated_nmap_local_scan.pcap,95168,b32b5f8bdf170ec9c6ea42e12932ce63f51e9b752f99207dd632be6c9f456a7a,historical controlled Python TCP-connect fixture,Controlled localhost scan_group with 181 unique destination ports.,localhost only; no public target,synthetic_controlled historical fixture; never external or strict evidence
